Name,Beer_ID,ABV,IBU,Brewery_id,Style,Ounces,Type
Ellie’s Brown Ale,106,0.055,17,38,American Brown Ale,12,Other Ale
Pumpkin Beast,1620,0.062,17,361,Pumpkin Ale,12,Other Ale
OktoberBeast,1579,0.072,22,361,Märzen / Oktoberfest,12,Other
Mad Beach,1228,0.048,23,361,American Pale Wheat Ale,12,Other Ale
Hog Wild India Pale Ale,705,0.067,,361,American IPA,12,IPA
Devils Tramping Ground Tripel,704,0.092,5,361,Tripel,12,Other
Hot Rod Red,702,0.061,41,361,American Amber / Red Ale,12,Other Ale
Palate Mallet,2058,0.086,,236,American Double / Imperial IPA,12,IPA
Back East Porter,1483,0.06,,236,American Porter,12,Other
Back East Golden Ale,1426,0.049,,236,American Blonde Ale,12,Other Ale
Misty Mountain IPA,1132,0.07,,236,American IPA,12,IPA
Back East Ale,1131,0.05,,236,American Amber / Red Ale,12,Other Ale
Truck Stop Honey Brown Ale,1876,0.06,,287,English Brown Ale,12,Other Ale
Naked Pig Pale Ale,1875,0.06,43,287,American Pale Ale (APA),12,APA
Topcutter India Pale Ale,966,0.068,70,484,American IPA,12,IPA
Field 41 Pale Ale,965,0.044,38,484,American Pale Ale (APA),12,APA
Grapefruit Sculpin,2593,0.07,,35,American IPA,12,IPA
Even Keel,2105,0.038,40,35,American IPA,12,IPA
Ballast Point Pale Ale,1401,0.052,23,35,Kölsch,12,Other
Big Eye India Pale Ale,1400,0.07,75,35,American IPA,12,IPA
Longfin Lager,1019,0.046,,35,Munich Helles Lager,12,Lager
Sculpin IPA,1018,0.07,70,35,American IPA,12,IPA
All Nighter Ale,1776,0.045,,319,Extra Special / Strong Bitter (ESB),12,Other
Banner American Rye,1644,0.045,20,319,Rye Beer,12,Other
Banner American Ale,1643,0.035,45,319,American Amber / Red Ale,12,Other Ale
Thai.p.a,2618,0.07,46,21,American IPA,16,IPA
Barrio Blanco,2005,0.06,60,252,American IPA,12,IPA
Barrio Tucson Blonde,1343,0.045,,252,American Blonde Ale,12,Other Ale
Hop in the ‘Pool Helles,2404,0.049,22,117,American Pilsner,12,Other
Ultra Gnar Gnar IPA,2323,0.067,60,117,American IPA,12,IPA
In-Tents India Pale Lager,2189,0.068,62,117,American Pale Lager,12,Lager
Lost Meridian Wit,2188,0.05,20,117,Witbier,12,Other
Celestial Meridian Cascadian Dark Lager,2187,0.051,45,117,Euro Dark Lager,12,Lager
Wagon Party,1966,0.054,55,259,California Common / Steam Beer,12,Other
Sky-Five,1965,0.067,70,259,American IPA,12,IPA
Stargrazer,1964,0.05,28,259,Schwarzbier,12,Other
Wonderstuff,1963,0.054,48,259,German Pilsener,12,Other
Tarnation California-Style Lager,1855,0.053,,293,California Common / Steam Beer,12,Other
On the Count of 3 (2015),1778,0.07,42,293,Hefeweizen,16,Other
Summer Swelter,1209,0.047,,293,American Pale Wheat Ale,12,Other Ale
Phantom Punch Winter Stout,954,0.068,,293,Foreign / Export Stout,12,Other
Hayride Autumn Ale,910,0.066,,293,Rye Beer,12,Other
Celsius Summer Ale (2012),707,0.047,,293,American Pale Wheat Ale,12,Other Ale
Amber Road,533,0.055,35,293,American Amber / Red Ale,12,Other Ale
Pamola Xtra Pale Ale,183,0.049,28,293,American Pale Ale (APA),12,APA
Stowaway IPA,182,0.069,69,293,American IPA,12,IPA
Hoptopus Double IPA,1806,0.088,108,307,American Double / Imperial IPA,16,IPA
Watermelon Ale,2435,0.05,10,104,Fruit / Vegetable Beer,12,Other
Fenway American Pale Ale,2423,0.058,45,104,American Pale Ale (APA),12,APA
Back Bay IPA,2420,0.068,85,104,American IPA,12,IPA
Bunker Hill Blueberry Ale ,2419,0.048,16,104,Other,12,Other
Oberon,2494,0.058,,77,American Pale Wheat Ale,12,Other Ale
Smitten,2325,0.06,,77,Rye Beer,16,Other
